ID_MUNICIPIO,NOME_MUNICIPIO,CODIGO_INFRACAO,DESCRICAO_INFRACAO,UF_PLACA_VEICULO,TIPO_VEICULO,CATEGORIA_VEICULO,QTDE,MES,ANO
7107,SAO PAULO,7633-2,Dirigir veiculo manuseando telefone celular,SP,MOTONETA,PARTICULAR,64,11,2025
6477,GUARULHOS,6726-1,"CONDUZIR O VEICULO EM MAU ESTADO DE CONSERVACAO, COMPROMETENDO A SEGURANCA",Outras UFs,AUTOMOVEL,,3,11,2025
6985,RIOLANDIA,6637-1,CONDUZIR O VEICULO SEM EQUIPAMENTO OBRIGATORIO,SP,MOTOCICLO,PARTICULAR,4,11,2025
7107,SAO PAULO,5037-1,DIRIGIR VEICULO COM CNH DE CATEGORIA DIFERENTE DA DO VEICULO,SP,MOTOCICLO,PARTICULAR,138,11,2025
6475,GUARUJA,5207-0,Dirigir sem atencao ou sem os cuidados indispensaveis a seguranca,SP,MOTONETA,PARTICULAR,6,11,2025
6875,PIRACICABA,7684-2,Cond motoc/moton/ciclom c/ util cap de seg c/ vis/ocul prot des c/ regul Contran,SP,MOTOCICLO,PARTICULAR,25,11,2025
6969,RIBEIRAO PRETO,6599-2,CONDUZIR O VEICULO REGISTRADO QUE NAO ESTEJA DEVIDAMENTE LICENCIADO,SP,AUTOMOVEL,PARTICULAR,234,11,2025
7107,SAO PAULO,5762-0,"TRANSITAR AO LADO DE OUTRO VEICULO, INTERROMPENDO OU PERTURBANDO O TRANSITO",SP,MOTOCICLO,PARTICULAR,1,11,2025
6715,MOGI-GUACU,7056-1,CONDUZIR MOTOC/MOTON/CICLOMOTOR FAZENDO MALABARISMO/EQUILIBRANDO-SE EM UMA RODA,Outras UFs,MOTOCICLO,PARTICULAR,2,11,2025
7209,UBATUBA,5274-1,UTILIZ VEIC DEMONST/EXIBIR MANOBRA PERIGOSA MEDIANTE ARRANCADA BRUSCA,SP,MOTOCICLO,PARTICULAR,24,11,2025
7051,SANTA RITA DO PASSA QUATRO,6599-2,CONDUZIR O VEICULO REGISTRADO QUE NAO ESTEJA DEVIDAMENTE LICENCIADO,SP,AUTOMOVEL,PARTICULAR,9,11,2025
6377,DIADEMA,5045-0,DIRIGIR VEICULO COM VALIDADE DE CNH/PPD VENCIDA HA MAIS DE 30 DIAS,SP,MOTONETA,PARTICULAR,1,11,2025
6619,JUNDIAI,6726-1,"CONDUZIR O VEICULO EM MAU ESTADO DE CONSERVACAO, COMPROMETENDO A SEGURANCA",SP,CAMINHONET,ALUGUEL,4,11,2025
